timestamp,score,player_x_norm,player_velocity_norm,stone_x_norm,stone_y_norm,stone_speed_norm,dx_norm,abs_dx_norm,danger_left,danger_center,danger_right,action
1780487700.852484,0,0.5,0.0,0.053125,0.1312343960338692,0.6892365789524654,-0.446875,0.446875,0,0,0,0
1780487700.8686664,0,0.5,0.0,0.053125,0.14006243251689432,0.6892365789524654,-0.446875,0.446875,0,0,0,0
1780487700.885221,0,0.5,0.0,0.053125,0.14837117273621211,0.6892365789524654,-0.446875,0.446875,0,0,0,0
1780487700.900795,0,0.5,0.0,0.053125,0.1566799129555299,0.6892365789524654,-0.446875,0.446875,0,0,0,0
1780487700.917358,0,0.5,0.0,0.053125,0.1649886531748477,0.6892365789524654,-0.446875,0.446875,0,0,0,0
1780487700.9344695,0,0.5,0.0,0.053125,0.17381668965787286,0.6892365789524654,-0.446875,0.446875,0,0,0,0
1780487700.9519992,0,0.5,0.0,0.053125,0.182644726140898,0.6892365789524654,-0.446875,0.446875,0,0,0,0
1780487700.9682395,0,0.5,0.0,0.053125,0.19147276262392315,0.6892365789524654,-0.446875,0.446875,0,0,0,0
1780487700.985867,0,0.5,0.0,0.053125,0.20030079910694829,0.6892365789524654,-0.446875,0.446875,0,0,0,0
1780487701.0024135,0,0.5,0.0,0.053125,0.20912883558997344,0.6892365789524654,-0.446875,0.446875,0,0,0,0
1780487701.0192034,0,0.5,0.0,0.053125,0.2179568720729986,0.6892365789524654,-0.446875,0.446875,0,0,0,0
1780487701.0344677,0,0.5,0.0,0.053125,0.2262656122923164,0.6892365789524654,-0.446875,0.446875,0,0,0,0
1780487701.0513546,0,0.5,0.0,0.053125,0.2345743525116342,0.6892365789524654,-0.446875,0.446875,0,0,0,0
1780487701.0685556,0,0.5,0.0,0.053125,0.24340238899465932,0.6892365789524654,-0.446875,0.446875,0,0,0,0
1780487701.0857837,0,0.5,0.0,0.053125,0.2522304254776845,0.6892365789524654,-0.446875,0.446875,0,0,0,0
1780487701.1025505,0,0.5,0.0,0.053125,0.26105846196070964,0.6892365789524654,-0.446875,0.446875,0,0,0,0
1780487701.1191502,0,0.5,0.0,0.053125,0.26988649844373475,0.6892365789524654,-0.446875,0.446875,0,0,0,0
1780487701.1360016,0,0.5,0.0,0.053125,0.2781952386630525,0.6892365789524654,-0.446875,0.446875,0,0,0,0
1780487701.152282,0,0.5,0.0,0.053125,0.28702327514607767,0.6892365789524654,-0.446875,0.446875,0,0,0,0
1780487701.1700583,0,0.5,0.0,0.053125,0.2958513116291028,0.6892365789524654,-0.446875,0.446875,0,0,0,0
1780487701.186074,0,0.5,0.0,0.053125,0.3046793481121279,0.6892365789524654,-0.446875,0.446875,0,0,0,0
1780487701.2021854,0,0.5,0.0,0.053125,0.3129880883314457,0.6892365789524654,-0.446875,0.446875,0,0,0,0
1780487701.2180119,0,0.5,0.0,0.053125,0.32129682855076347,0.6892365789524654,-0.446875,0.446875,0,0,0,0
1780487701.2347672,0,0.5,0.0,0.053125,0.3296055687700813,0.6892365789524654,-0.446875,0.446875,0,0,0,0
1780487701.2510185,0,0.5,0.0,0.053125,0.3384336052531064,0.6892365789524654,-0.446875,0.446875,0,0,0,0
1780487701.2672684,0,0.5,0.0,0.053125,0.34674234547242416,0.6892365789524654,-0.446875,0.446875,0,0,0,0
1780487701.284699,0,0.5,0.0,0.053125,0.3555703819554493,0.6892365789524654,-0.446875,0.446875,0,0,0,0
1780487701.3016534,0,0.5,0.0,0.053125,0.3643984184384744,0.6892365789524654,-0.446875,0.446875,0,0,0,0
1780487701.3181398,0,0.5,0.0,0.053125,0.37322645492149953,0.6892365789524654,-0.446875,0.446875,0,0,0,0
1780487701.3339794,0,0.5,0.0,0.053125,0.38153519514081735,0.6892365789524654,-0.446875,0.446875,0,0,0,0
1780487701.350218,0,0.5,0.0,0.053125,0.3898439353601351,0.6892365789524654,-0.446875,0.446875,0,0,0,0
1780487701.3682287,0,0.5,0.0,0.053125,0.3986719718431602,0.6892365789524654,-0.446875,0.446875,0,0,0,0
1780487701.3856683,0,0.5,0.0,0.053125,0.4080193045898927,0.6892365789524654,-0.446875,0.446875,0,0,0,0
1780487701.4017115,0,0.5,0.0,0.053125,0.4168473410729179,0.6892365789524654,-0.446875,0.446875,0,0,0,0
1780487701.4180279,0,0.5,0.0,0.053125,0.42515608129223564,0.6892365789524654,-0.446875,0.446875,0,0,0,0
1780487701.433907,0,0.5,0.0,0.053125,0.43346482151155347,0.6892365789524654,-0.446875,0.446875,0,0,0,0
